mechanism,attack,epsilon,delta,n_observations,trials,seed,auc,advantage,advantage_ci_lo,advantage_ci_hi,auc_ci_lo,auc_ci_hi,train_pool,test_pool,mean_release_ns,sensitivity_ns,bin_ns
m-geo,mean-threshold,0.5,0.000001,16,3000,0,0.424086,0.151827,0.122946,0.181369,0.409315,0.438527,2000,2000,15109648.2,509626,132318
m-geo,mean-threshold,0.5,0.000001,16,3000,1,0.436161,0.127678,0.097164,0.156773,0.421613,0.451418,2000,2000,15101481.2,509626,134038
m-geo,mean-threshold,0.5,0.000001,16,3000,2,0.429387,0.141225,0.111254,0.169112,0.415444,0.444373,2000,2000,15103338.2,509626,134188
m-geo,likelihood-ratio,0.5,0.000001,64,3000,0,0.612607,0.225215,0.197539,0.255157,0.598770,0.627579,2000,2000,15103935.7,509626,132318
m-geo,likelihood-ratio,0.5,0.000001,64,3000,1,0.556345,0.112690,0.084456,0.141400,0.542228,0.570700,2000,2000,15105749.1,509626,134038
m-geo,likelihood-ratio,0.5,0.000001,64,3000,2,0.539289,0.078579,0.049236,0.107649,0.524618,0.553824,2000,2000,15101989.6,509626,134188
m-geo,mean-threshold,0.5,0.000001,64,3000,0,0.368617,0.262766,0.236232,0.290759,0.354621,0.381884,2000,2000,15103935.7,509626,132318
m-geo,mean-threshold,0.5,0.000001,64,3000,1,0.377555,0.244890,0.216023,0.272948,0.363526,0.391988,2000,2000,15105749.1,509626,134038
m-geo,mean-threshold,0.5,0.000001,64,3000,2,0.363215,0.273570,0.246644,0.302126,0.348937,0.376678,2000,2000,15101989.6,509626,134188
m-geo,likelihood-ratio,0.5,0.000001,256,2500,0,0.701613,0.403227,0.375927,0.431289,0.687964,0.715644,2000,2000,15104822.8,509626,132318
m-geo,likelihood-ratio,0.5,0.000001,256,3000,1,0.615254,0.230509,0.200856,0.258938,0.600428,0.629469,2000,2000,15104121.9,509626,134038
m-geo,likelihood-ratio,0.5,0.000001,256,3000,2,0.566450,0.132900,0.103868,0.161212,0.551934,0.580606,2000,2000,15102541.1,509626,134188
m-geo,mean-threshold,0.5,0.000001,256,2500,0,0.264413,0.471175,0.444026,0.498662,0.250669,0.277987,2000,2000,15104822.8,509626,132318
m-geo,mean-threshold,0.5,0.000001,256,2000,1,0.249861,0.500279,0.470607,0.529028,0.235486,0.264697,2000,2000,15105140.3,509626,134038
m-geo,mean-threshold,0.5,0.000001,256,2500,2,0.259585,0.480830,0.453815,0.508798,0.245601,0.273092,2000,2000,15103141.2,509626,134188
m-bucket,likelihood-ratio,0.5,0.000001,1,3000,0,0.481044,0.037913,0.009464,0.067211,0.466394,0.495268,2000,2000,15810382.2,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,1,1500,1,0.508313,0.016626,0.023494,0.057404,0.488253,0.528702,2000,2000,15792120.6,509626,94619
m-bucket,likelihood-ratio,0.5,0.000001,1,1000,2,0.505853,0.011707,0.038952,0.064461,0.480524,0.532231,2000,2000,15784646.1,509626,94619
m-bucket,mean-threshold,0.5,0.000001,1,1000,0,0.513581,0.027162,0.023341,0.079326,0.488330,0.539663,2000,2000,15834844.3,509626,94619
m-bucket,mean-threshold,0.5,0.000001,1,1000,1,0.499377,0.001246,0.048991,0.051709,0.474145,0.524496,2000,2000,15780314.3,509626,94619
m-bucket,mean-threshold,0.5,0.000001,1,1000,2,0.497620,0.004760,0.042704,0.054905,0.472548,0.521352,2000,2000,15784646.1,509626,94619
